Week,Total Doses Distributed
2012-02-03,132.1
2012-01-20,132.0
2011-12-30,131.2
2011-12-16,130.6
2011-12-09,130.1
2011-11-25,129.2
2011-11-18,127.9
2011-11-11,126.9
2011-10-28,124.9
2011-10-21,122.9
2011-10-07,115.5
2011-09-30,110.4
2011-09-23,104.8
2011-09-16,97.7
2011-09-09,85.9
2011-09-02,67.9
2011-08-26,55.1
2013-03-01,134.9
2013-02-22,134.9
2013-02-15,134.8
2013-02-08,134.8
2013-02-01,134.6
2013-01-25,134.2
2013-01-18,133.5
2013-01-11,129.4
2013-01-04,128.1
2012-12-14,127.1
2012-12-07,126.3
2012-11-30,125.3
2012-11-23,124.7
2012-11-09,123.7
2012-11-02,121.8
2012-10-26,120.4
2012-10-19,117.1
2012-10-12,114.6
2012-10-05,112.7
2012-09-28,105.1
2012-09-21,96.8
2012-09-14,85.6
2012-09-07,72.6
2014-02-28,134.5
2014-02-14,134.4
2014-02-07,134.2
2014-01-31,134.1
2014-01-24,133.9
2014-01-17,133.4
2014-01-03,131.2
2013-12-13,130.2
2013-12-06,129.8
2013-11-29,128.6
2013-11-15,126.3
2013-11-08,123.6
2013-11-01,118.3
2013-10-25,113.9
2013-10-18,110.5
2013-09-20,73.0
2013-09-13,61.8
2013-09-06,50.2
2013-08-30,40.2
2015-02-06,147.8
2015-01-30,147.7
2015-01-23,147.6
2015-01-16,147.4
2015-01-09,147.1
2014-12-05,145.4
2014-11-28,144.5
2014-11-14,139.7
2014-11-07,135.9
2014-10-31,132.2
2014-10-17,117.8
2014-10-10,112.3
2014-10-03,98.9
2014-09-26,87.9
2014-09-19,62.1
2014-09-12,54.8
2014-09-05,40.8
2014-08-29,33.8
2016-02-26,146.4
2016-02-19,146.4
2016-02-12,146.3
2016-02-05,146.2
2016-01-29,146.0
2016-01-22,145.8
2016-01-15,145.6
2016-01-08,145.4
2016-01-01,144.9
2015-12-11,143.3
2015-12-04,142.0
2015-11-27,140.5
2015-11-13,132.7
2015-11-06,127.9
2015-10-30,123.7
2015-10-23,118.2
2015-10-16,113.04
2015-10-09,109.4
2015-10-02,98.5
2015-09-25,92.3
2015-09-18,76.1
2015-09-11,65.1
2015-09-04,40.7
2017-03-03,145.9
2017-02-24,145.8
2017-02-17,145.7
2017-02-10,145.6
2017-02-03,145.2
2017-01-27,145.0
2017-01-13,144.6
2016-12-30,143.7
2016-12-16,143.2
2016-12-02,142.0
2016-11-25,139.6
2016-11-11,139.0
2016-11-04,136.1
2016-10-28,134.0
2016-10-21,130.3
2016-10-14,124.5
2016-10-07,116.3
2016-09-23,108.8
2016-09-16,93.2
2016-09-09,69.7
2016-09-02,52.7
2019-03-01,169.1
2019-02-22,169.1
2019-02-15,169.1
2019-02-08,169.1
2019-02-01,168.9
2019-01-25,168.6
2019-01-18,168.4
2019-01-11,168.0
2019-01-04,167.0
2018-12-14,166.6
2018-12-07,165.5
2018-11-30,163.8
2018-11-23,162.1
2018-11-09,159.1
2021-02-26,193.8
2021-02-12,193.7
2021-02-05,193.6
2021-01-29,193.4
2021-01-15,193.2
2021-01-08,192.9
2021-01-01,192.5
2020-12-25,192.3
2020-12-18,192.1
2020-12-11,190.4
2020-12-04,189.4
2020-11-27,188.0
2020-11-20,186.9
2020-11-13,183.0
2020-11-06,179.6
2020-10-30,172.3
2020-10-23,164.7
2020-10-16,154.6
2020-10-09,139.4
2020-10-02,124.2
2020-09-25,105.5
2020-09-18,87.5
2020-09-11,66.6
2020-09-04,47.6
2020-08-28,32.4
2020-08-21,21.8
2020-08-14,13.7
